sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TN,TP,COD,totalMP,SO2,DO,velocity,lifestyle,Richness,Gini_simpson,Evenness,indicator.ratio,total.ratio,indicator.rb
47,MP,4.nov,mp4,B0,0,28.4,5.2,0.4,7.7,3.4,0.2,10,1.5,32.9,8.3,0.3,lytic,1234,0.985946186,0.739876774,1.556128476,1.135816386,245410.0533
48,MP,4.nov,mp4,C1,0,25.3,9.5,0.1,10.6,2.2,0.2,23,1,13.6,6.9,1,lytic,811,0.977635873,0.694060347,1.010669222,1.312113142,238448.9525
49,MP,4.nov,mp4,C2,0,24.7,2.2,19,7.2,2.5,0,14,0.5,167,5.2,0.1,lytic,1091,0.979719385,0.688205496,1.042863926,1.123841716,135565.3509
50,MP,4.nov,mp4,D1,0,27,2.6,0.3,7.5,9.4,0.7,38,0.4,51.7,7.3,0.6,lytic,864,0.953124074,0.629904017,1.917368391,0.978918799,262452.667
51,MP,4.nov,mp4,D2,0,26.7,12.4,1.4,7.2,4.9,0.3,12,0.3,120,2.8,0.1,lytic,712,0.930222377,0.554813505,0.677797385,0.941299827,72064.1137
52,MP,4.nov,mp4,E0,0,27.6,5.5,0.1,7.3,9,1.1,8,0.8,54.2,7.5,0.1,lytic,940,0.983455907,0.703701502,0.604498053,1.168851765,114490.3549
53,MP,4.nov,mp4,F1,0,24.4,1.5,0,7.1,0.5,0,5,1.1,8.6,8.4,0.1,lytic,915,0.969117507,0.660459036,1.448255961,1.721381581,451504.3408
54,MP,4.nov,mp4,F2,0,26.3,5.9,0,7.3,0.7,0,4,0.4,9.7,8.3,2.2,lytic,1003,0.975651471,0.647685917,0.73514441,1.181035352,68342.98914
55,MP,4.nov,mp4,F3,7,24.5,10.9,2.1,7.4,1.3,0.1,28,1.4,33.7,7.4,0.1,lytic,777,0.983592469,0.734524597,0.836215432,1.026021519,271996.5482
56,MP,4.nov,mp4,G1,7,29.4,1.7,22,8.1,1.9,0,14,0.8,133,7.5,0,lytic,973,0.919182636,0.561676247,2.019655153,1.718774331,317754.9646
57,MP,4.nov,mp4,G2,7,29.2,3.3,14.8,7.9,2,0,7,2.2,94.7,7.4,0,lytic,635,0.973897637,0.688192048,1.030364565,1.239595219,609418.2801
58,MP,4.nov,mp4,H0,0,28,3.1,7.8,7.2,0.9,0,6,1.9,42.9,7,0.3,lytic,1185,0.990449755,0.776776627,0.936539835,1.30174241,108299.1328
59,MP,4.nov,mp4,I0,0,25.6,2.1,2.8,7.4,0.4,0,4,0.5,9.5,8.6,0,lytic,971,0.985213639,0.744198577,1.206033919,1.250343547,258659.6704
60,MP,4.nov,mp4,J0,0,24.4,1.4,0,7.3,1.4,0,6,0.5,14.3,8,0.3,lytic,909,0.983311571,0.708790582,1.103253304,1.0122912,315525.4174
61,NP,1.feb,np1,A0,0.2,18,1.8,0,7.7,1.1,0,4,0.6,10.7,8.6,0,lytic,736,0.918481179,0.603986696,1.320557332,1.242108623,90884.12676
62,NP,1.feb,np1,B0,0.2,20.8,6,0.5,7.9,4.6,1.1,26,1.4,71.1,2.8,0,lytic,626,0.940675376,0.641144544,2.882839627,1.249276864,38029.94047
63,NP,1.feb,np1,C1,0,21,5.2,0.2,7.9,3.7,1,19,0.9,21.8,7.1,0,lytic,1047,0.984021506,0.733350176,1.666192248,1.453222437,137952.9899
64,NP,1.feb,np1,C2,0,18.8,2.7,24.1,8.2,3.5,0.2,24,1.2,72.4,4.4,0.4,lytic,854,0.980705576,0.716364898,1.327830614,1.448525504,39543.52542
65,NP,1.feb,np1,D1,0.2,21.1,4.9,0.4,7.6,4.6,0.7,30,0.9,31.7,6.9,0.7,lytic,1085,0.958350164,0.625229447,2.634004807,1.060951199,60395.71019
66,NP,1.feb,np1,D2,0.2,20.1,17.3,0.5,7.3,3.7,0.7,26,2,31.6,3.7,0.1,lytic,983,0.978590002,0.718581809,1.378759296,1.699154076,143613.3799
67,NP,1.feb,np1,E0,0,20.5,6.1,0.1,7.5,1.2,0.2,30,2.5,9,6.7,0,lytic,838,0.977248883,0.701324009,2.237194796,1.105662373,5171.96755
68,NP,1.feb,np1,F1,0,18.8,0.8,0,7.4,1.8,0,10,3.4,117,7.5,0.1,lytic,1146,0.989349775,0.766746904,1.760512858,1.252468332,4810.380185
69,NP,1.feb,np1,F2,0,20.1,0.6,0.1,7.3,2,0.1,19,1.7,9.4,9,0.6,lytic,654,0.966218423,0.652361708,2.284338701,1.101015138,25469.78003
70,NP,1.feb,np1,F3,0,18.9,3.1,13.6,7.1,2,0.2,44,5.3,8.9,5.3,0,lytic,646,0.987176799,0.776242243,0.881123146,1.073190477,14410.32101
71,NP,1.feb,np1,G1,0,21.5,2.4,24.2,8,2.7,0,12,2.5,72.3,6.6,0,lytic,771,0.985341919,0.756127715,1.005916314,0.948205612,15370.27635
72,NP,1.feb,np1,G2,0,21.3,2.4,10.6,7.8,1.2,1.1,51,3.7,44.2,5.8,0,lytic,851,0.977756065,0.708809077,1.355423609,0.943149126,43728.11048
73,NP,1.feb,np1,H0,0.1,23,4.3,9.6,7.3,6.4,1.4,31,8.1,113,7.2,0.3,lytic,655,0.985979511,0.754003775,2.372698999,0.916072854,8519.943203
74,NP,1.feb,np1,I0,0.1,19.4,2.2,2.7,7.7,1.2,0.1,26,1.8,92,9.8,0.1,lytic,420,0.973619324,0.710618965,2.399989527,1.15192049,5395.058334
75,NP,1.feb,np1,J0,0.1,19,0.6,0.1,8.6,0.8,0.1,6,1.1,11.2,10,0.3,lytic,757,0.93042666,0.633938639,0.239172526,0.905588855,40432.70774
76,NP,2.may,np2,A0,7.6,28.4,3,0.1,7.4,1.2,0,5,0.6,9.4,6.7,0.2,lytic,1482,0.984182686,0.716142345,1.679845537,1.738765823,8227.741439
77,NP,2.may,np2,B0,7.6,23.4,54,0.1,8.1,4.5,0.2,14,1.3,45.9,7.5,0,lytic,1149,0.987438604,0.758387437,1.395038106,1.288037842,7006.688789
78,NP,2.may,np2,C1,0.2,23.7,64.7,0.1,9.9,3.9,0.2,24,2.9,22.9,8,0.3,lytic,505,0.95337263,0.638803257,1.78110571,1.211525134,11.61301212
79,NP,2.may,np2,C2,0.2,23.8,4.2,18.3,7.7,3.7,0.3,9,1.4,109,5.2,0,lytic,923,0.979134489,0.686151519,1.454979163,1.281262464,1697.717888
80,NP,2.may,np2,D1,7.6,25,2.5,0.2,7.5,4.6,0.3,24,1.1,72,7,0.7,lytic,967,0.990833654,0.769109813,4.129851067,0.929235511,244.1216258
81,NP,2.may,np2,D2,7.6,25,9.4,1.1,7.3,3.8,0.3,14,1.5,31.7,1.9,0.2,lytic,590,0.918491913,0.543319371,1.200562538,1.33393705,414566.8615
82,NP,2.may,np2,E0,3.3,29.4,6.3,0.1,7.5,1.4,0.1,18,1.9,11.7,5.7,0.1,lytic,953,0.967291328,0.664178166,1.502126102,0.783497486,4765.953758
83,NP,2.may,np2,F1,3.3,24.5,1.1,0,7.7,1.9,0,10,1.3,9,8.4,0.1,lytic,830,0.968257184,0.67651921,1.298608399,1.294027827,15482.42246
84,NP,2.may,np2,F2,3.3,25.5,2.2,0.1,7.5,2.1,0.1,12,0.6,10.6,8,1,lytic,964,0.936044149,0.633447962,1.381258181,1.157660478,6504.943972
85,NP,2.may,np2,F3,3.3,24.9,1.9,13,7.3,1.9,0.1,39,1,114,4.1,0.2,lytic,856,0.977300021,0.700448356,1.350748479,1.366124713,25623.26304
86,NP,2.may,np2,G1,0.2,28.6,2.5,24,8,3,0,12,3.5,9,7.1,0.1,lytic,567,0.979254717,0.73597629,1.314840911,1.314535502,9112.437407
87,NP,2.may,np2,G2,0.2,27.4,4.4,11.6,7.6,2,0.1,11,2.5,152,5.7,0,lytic,1119,0.976698625,0.659356817,1.247738392,0.992436,151748.1175
88,NP,2.may,np2,H0,13.1,28.7,3,7.7,7.3,6.3,0.7,46,0.7,727,7.1,0.4,lytic,1003,0.987676827,0.778255773,1.471198894,1.309061196,433.4969165
89,NP,2.may,np2,I0,13.1,29,2,5.1,7.7,1.3,0.1,26,2,714,8.1,0,lytic,1074,0.96216753,0.643365443,2.849148687,1.224755263,152.4794191
90,NP,2.may,np2,J0,0.2,27.7,1.2,0.1,7.4,1.1,0.1,9,0.8,11.3,7.4,0.4,lytic,700,0.90067176,0.542111901,4.202071041,2.42864999,3897.40159
91,NP,3.Aug,np3,A0,0.5,29.4,9.5,0,7.6,1.4,0,5,0.7,8.3,7.6,0,lytic,959,0.984025208,0.712184251,0.70165536,1.126545845,66787.32617
92,NP,3.Aug,np3,B0,0.5,30.4,7.5,0.2,7.6,6.1,0.2,12,0.6,27.3,7,0,lytic,1182,0.982694525,0.708378206,1.3063576,0.992028684,96996.9505
93,NP,3.Aug,np3,C1,2.5,30,17.5,0.1,9.5,2.3,0.2,16,1.2,12.9,6.8,0.4,lytic,898,0.979466143,0.69078268,1.248321368,1.408472764,324653.5537
94,NP,3.Aug,np3,C2,2.5,28.4,4,11.5,7.4,2,0,17,0.7,134,5.4,0,lytic,1205,0.98687544,0.744903957,1.178484092,1.09034786,11945.82902
95,NP,3.Aug,np3,D1,25.8,29.7,1.8,0.4,7.2,5.1,0.4,17,0.5,47.2,3.7,0.6,lytic,794,0.948666576,0.600918063,1.279822537,1.222925337,338688.748
96,NP,3.Aug,np3,D2,25.8,30,20.9,0.5,7.2,2.7,0.2,11,2.2,12.5,3.2,0.9,lytic,1267,0.974359352,0.704418016,1.958479036,1.811950623,455651.9019
97,NP,3.Aug,np3,E0,15.5,29.5,69.3,0.1,7.3,1.6,0,14,0.7,15.3,6.8,0,lytic,1065,0.986755721,0.722375692,0.91859512,0.998887331,10909.42282
98,NP,3.Aug,np3,F1,15.5,28.1,1.3,0,7.4,3.3,0,5,2.7,8,8,0.2,lytic,757,0.976521211,0.673982218,2.237114155,1.310890911,79034.96188
99,NP,3.Aug,np3,F2,15.5,30.1,1.7,0,7.4,1.6,0,6,0.6,14.2,7.9,1,lytic,892,0.967444419,0.636013336,1.550858869,1.703571427,378257.5483
100,NP,3.Aug,np3,F3,15.5,29.6,1.4,16.2,7.4,2.3,0,8,1.5,125,5.2,0.2,lytic,1545,0.986874457,0.726916727,0.796603955,1.204825674,139811.341
101,NP,3.Aug,np3,G1,0,31.2,2.7,31.6,7.9,2,0.1,21,1.8,154,5.9,0.1,lytic,1437,0.987664011,0.736187861,1.327753145,1.091739658,150667.1879
102,NP,3.Aug,np3,G2,0,31.1,1.7,23.7,7.7,2.1,0.1,21,1.2,135,5.2,0,lytic,1423,0.98698355,0.742928728,0.839088803,1.298821179,117430.4321
103,NP,3.Aug,np3,H0,0.9,31.9,3.7,8.7,7.3,4.9,0.6,29,4.5,615,6.9,0.3,lytic,689,0.929601617,0.573899986,1.316263495,1.247203869,409266.1363
104,NP,3.Aug,np3,I0,0.9,29.2,28.2,0.1,7.8,1.8,0,4,1.7,521,7.3,0,lytic,1266,0.987620144,0.739333982,0.99379622,1.370971833,50356.53381
105,NP,3.Aug,np3,J0,2.5,29.2,1.6,0.1,7.4,1.5,0,9,0.7,8.8,7.3,0.3,lytic,889,0.983682958,0.718770232,1.299531075,1.422662784,326370.1652
106,NP,4.nov,np4,A0,0,28.2,2.3,0,7.6,0.7,0,5,0.9,9,9.4,0.2,lytic,665,0.859682538,0.4810182,1.272298137,1.349048002,288220.7476
107,NP,4.nov,np4,B0,0,28.4,5.2,0.4,7.7,3.4,0.2,10,1.5,32.9,8.3,0.3,lytic,678,0.985055948,0.745386093,1.027167662,1.906110449,1996.922394
108,NP,4.nov,np4,C1,0,25.3,9.5,0.1,10.6,2.2,0.2,23,1,13.6,6.9,1,lytic,767,0.945862096,0.605305599,1.232005489,1.203826857,75373.60594
109,NP,4.nov,np4,C2,0,24.7,2.2,19,7.2,2.5,0,14,0.5,167,5.2,0.1,lytic,1176,0.988992264,0.743376042,2.273863776,0.993990793,392.333556
110,NP,4.nov,np4,D1,0,27,2.6,0.3,7.5,9.4,0.7,38,0.4,51.7,7.3,0.6,lytic,996,0.979997506,0.709195694,2.178549025,1.05369614,187.8697842
111,NP,4.nov,np4,D2,0,26.7,12.4,1.4,7.2,4.9,0.3,12,0.3,120,2.8,0.1,lytic,885,0.959410035,0.623820709,0.926944424,0.961617762,411.200945
112,NP,4.nov,np4,E0,0,27.6,5.5,0.1,7.3,9,1.1,8,0.8,54.2,7.5,0.1,lytic,680,0.971133209,0.649172813,1.216926892,1.11157825,45904.69385
113,NP,4.nov,np4,F1,0,24.4,1.5,0,7.1,0.5,0,5,1.1,8.6,8.4,0.1,lytic,666,0.943912304,0.570837964,2.248095984,0.720261305,830.933424
114,NP,4.nov,np4,F2,0,26.3,5.9,0,7.3,0.7,0,4,0.4,9.7,8.3,2.2,lytic,986,0.96850928,0.686600842,1.452486449,1.036265801,3197.388271
115,NP,4.nov,np4,F3,7,24.5,10.9,2.1,7.4,1.3,0.1,28,1.4,33.7,7.4,0.1,lytic,1445,0.980926424,0.693785339,0.971516369,1.262434876,19294.06824
116,NP,4.nov,np4,G1,7,29.4,1.7,22,8.1,1.9,0,14,0.8,133,7.5,0,lytic,954,0.969009953,0.731611695,0.816539932,1.293589077,98705.84375
117,NP,4.nov,np4,G2,7,29.2,3.3,14.8,7.9,2,0,7,2.2,94.7,7.4,0,lytic,831,0.975505001,0.67693978,1.3740557,0.894471456,9562.132986
118,NP,4.nov,np4,H0,0,28,3.1,7.8,7.2,0.9,0,6,1.9,42.9,7,0.3,lytic,779,0.986017167,0.752445659,1.220806762,1.250589171,9462.303377
119,NP,4.nov,np4,I0,0,25.6,2.1,2.8,7.4,0.4,0,4,0.5,9.5,8.6,0,lytic,663,0.977824493,0.666659093,2.186312283,3.556234781,116.6874282
120,NP,4.nov,np4,J0,0,24.4,1.4,0,7.3,1.4,0,6,0.5,14.3,8,0.3,lytic,869,0.981976605,0.719085876,1.226645598,2.310977453,56163.5646
121,MP,1.feb,mp1,A0,0.2,18,1.8,0,7.7,1.1,0,4,0.6,10.7,8.6,0,lysogenic,904,0.976546751,0.675595899,,,
122,MP,1.feb,mp1,B0,0.2,20.8,6,0.5,7.9,4.6,1.1,26,1.4,71.1,2.8,0,lysogenic,763,0.985695767,0.751848244,,,
123,MP,1.feb,mp1,C1,0,21,5.2,0.2,7.9,3.7,1,19,0.9,21.8,7.1,0,lysogenic,713,0.965676412,0.663763502,,,
124,MP,1.feb,mp1,C2,0,18.8,2.7,24.1,8.2,3.5,0.2,24,1.2,72.4,4.4,0.4,lysogenic,973,0.990412257,0.783656288,,,
125,MP,1.feb,mp1,D1,0.2,21.1,4.9,0.4,7.6,4.6,0.7,30,0.9,31.7,6.9,0.7,lysogenic,887,0.968474015,0.660685745,,,
126,MP,1.feb,mp1,D2,0.2,20.1,17.3,0.5,7.3,3.7,0.7,26,2,31.6,3.7,0.1,lysogenic,1168,0.974938623,0.734125733,,,
127,MP,1.feb,mp1,E0,0,20.5,6.1,0.1,7.5,1.2,0.2,30,2.5,9,6.7,0,lysogenic,756,0.984520514,0.739430991,,,
128,MP,1.feb,mp1,F1,0,18.8,0.8,0,7.4,1.8,0,10,3.4,117,7.5,0.1,lysogenic,1018,0.989040091,0.774815072,,,
