sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TN,TP,COD,totalMP,SO2,DO,velocity,lifestyle,Richness,Gini_simpson,Evenness,indicator.ratio,total.ratio,indicator.rb
166,MP,4.nov,mp4,A0,0,28.2,2.3,0,7.6,0.7,0,5,0.9,9,9.4,0.2,lysogenic,543,0.906389775,0.507474637,,,
167,MP,4.nov,mp4,B0,0,28.4,5.2,0.4,7.7,3.4,0.2,10,1.5,32.9,8.3,0.3,lysogenic,1121,0.987878199,0.751843081,,,
168,MP,4.nov,mp4,C1,0,25.3,9.5,0.1,10.6,2.2,0.2,23,1,13.6,6.9,1,lysogenic,732,0.975074909,0.686079228,,,
169,MP,4.nov,mp4,C2,0,24.7,2.2,19,7.2,2.5,0,14,0.5,167,5.2,0.1,lysogenic,990,0.978774204,0.685715148,,,
170,MP,4.nov,mp4,D1,0,27,2.6,0.3,7.5,9.4,0.7,38,0.4,51.7,7.3,0.6,lysogenic,775,0.948468884,0.620378906,,,
171,MP,4.nov,mp4,D2,0,26.7,12.4,1.4,7.2,4.9,0.3,12,0.3,120,2.8,0.1,lysogenic,657,0.929503642,0.557026327,,,
172,MP,4.nov,mp4,E0,0,27.6,5.5,0.1,7.3,9,1.1,8,0.8,54.2,7.5,0.1,lysogenic,845,0.981869283,0.698463044,,,
173,MP,4.nov,mp4,F1,0,24.4,1.5,0,7.1,0.5,0,5,1.1,8.6,8.4,0.1,lysogenic,833,0.966052703,0.655956194,,,
174,MP,4.nov,mp4,F2,0,26.3,5.9,0,7.3,0.7,0,4,0.4,9.7,8.3,2.2,lysogenic,918,0.974433513,0.648565324,,,
175,MP,4.nov,mp4,F3,7,24.5,10.9,2.1,7.4,1.3,0.1,28,1.4,33.7,7.4,0.1,lysogenic,725,0.982732154,0.733571645,,,
176,MP,4.nov,mp4,G1,7,29.4,1.7,22,8.1,1.9,0,14,0.8,133,7.5,0,lysogenic,861,0.910029387,0.550042151,,,
177,MP,4.nov,mp4,G2,7,29.2,3.3,14.8,7.9,2,0,7,2.2,94.7,7.4,0,lysogenic,575,0.971461982,0.682206823,,,
178,MP,4.nov,mp4,H0,0,28,3.1,7.8,7.2,0.9,0,6,1.9,42.9,7,0.3,lysogenic,1087,0.989457666,0.772396961,,,
179,MP,4.nov,mp4,I0,0,25.6,2.1,2.8,7.4,0.4,0,4,0.5,9.5,8.6,0,lysogenic,894,0.983735789,0.739380103,,,
180,MP,4.nov,mp4,J0,0,24.4,1.4,0,7.3,1.4,0,6,0.5,14.3,8,0.3,lysogenic,824,0.982053843,0.705197369,,,
181,NP,1.feb,np1,A0,0.2,18,1.8,0,7.7,1.1,0,4,0.6,10.7,8.6,0,lysogenic,667,0.911746592,0.59431136,,,
182,NP,1.feb,np1,B0,0.2,20.8,6,0.5,7.9,4.6,1.1,26,1.4,71.1,2.8,0,lysogenic,577,0.939534637,0.642440421,,,
183,NP,1.feb,np1,C1,0,21,5.2,0.2,7.9,3.7,1,19,0.9,21.8,7.1,0,lysogenic,958,0.982943772,0.729485505,,,
184,NP,1.feb,np1,C2,0,18.8,2.7,24.1,8.2,3.5,0.2,24,1.2,72.4,4.4,0.4,lysogenic,792,0.9799709,0.714712243,,,
185,NP,1.feb,np1,D1,0.2,21.1,4.9,0.4,7.6,4.6,0.7,30,0.9,31.7,6.9,0.7,lysogenic,986,0.969839488,0.685317032,,,
186,NP,1.feb,np1,D2,0.2,20.1,17.3,0.5,7.3,3.7,0.7,26,2,31.6,3.7,0.1,lysogenic,909,0.97693804,0.714271677,,,
187,NP,1.feb,np1,E0,0,20.5,6.1,0.1,7.5,1.2,0.2,30,2.5,9,6.7,0,lysogenic,766,0.972795284,0.688407868,,,
188,NP,1.feb,np1,F1,0,18.8,0.8,0,7.4,1.8,0,10,3.4,117,7.5,0.1,lysogenic,1041,0.988255305,0.762727671,,,
189,NP,1.feb,np1,F2,0,20.1,0.6,0.1,7.3,2,0.1,19,1.7,9.4,9,0.6,lysogenic,614,0.960648824,0.639260557,,,
190,NP,1.feb,np1,F3,0,18.9,3.1,13.6,7.1,2,0.2,44,5.3,8.9,5.3,0,lysogenic,607,0.986804578,0.776842554,,,
191,NP,1.feb,np1,G1,0,21.5,2.4,24.2,8,2.7,0,12,2.5,72.3,6.6,0,lysogenic,728,0.984959194,0.756254543,,,
192,NP,1.feb,np1,G2,0,21.3,2.4,10.6,7.8,1.2,1.1,51,3.7,44.2,5.8,0,lysogenic,786,0.976700911,0.708097593,,,
193,NP,1.feb,np1,H0,0.1,23,4.3,9.6,7.3,6.4,1.4,31,8.1,113,7.2,0.3,lysogenic,610,0.985201878,0.753232423,,,
194,NP,1.feb,np1,I0,0.1,19.4,2.2,2.7,7.7,1.2,0.1,26,1.8,92,9.8,0.1,lysogenic,384,0.971860702,0.709103955,,,
195,NP,1.feb,np1,J0,0.1,19,0.6,0.1,8.6,0.8,0.1,6,1.1,11.2,10,0.3,lysogenic,702,0.927560903,0.629993116,,,
196,NP,2.may,np2,A0,7.6,28.4,3,0.1,7.4,1.2,0,5,0.6,9.4,6.7,0.2,lysogenic,1311,0.981986005,0.705480323,,,
197,NP,2.may,np2,B0,7.6,23.4,54,0.1,8.1,4.5,0.2,14,1.3,45.9,7.5,0,lysogenic,1042,0.986089422,0.751506898,,,
198,NP,2.may,np2,C1,0.2,23.7,64.7,0.1,9.9,3.9,0.2,24,2.9,22.9,8,0.3,lysogenic,472,0.952550464,0.639808059,,,
199,NP,2.may,np2,C2,0.2,23.8,4.2,18.3,7.7,3.7,0.3,9,1.4,109,5.2,0,lysogenic,820,0.975742129,0.687147183,,,
200,NP,2.may,np2,D1,7.6,25,2.5,0.2,7.5,4.6,0.3,24,1.1,72,7,0.7,lysogenic,875,0.989570906,0.761498625,,,
201,NP,2.may,np2,D2,7.6,25,9.4,1.1,7.3,3.8,0.3,14,1.5,31.7,1.9,0.2,lysogenic,520,0.90982688,0.526610128,,,
202,NP,2.may,np2,E0,3.3,29.4,6.3,0.1,7.5,1.4,0.1,18,1.9,11.7,5.7,0.1,lysogenic,873,0.966050008,0.661994869,,,
